State,Year,Child_population,all_removals,ROR,Housing_ROR
Alabama,2010,154287,2433,15.769313033502499,71.0
Alaska,2010,26714,669,25.04304858875496,1.0
Arizona,2010,236518,5968,25.232751841297492,
Arkansas,2010,100110,3032,30.28668464688842,34.0
California,2010,1300849,25341,19.480354752934428,
Colorado,2010,173902,4435,25.502869432208946,29.0
Connecticut,2010,105318,1915,18.183026643118936,5.0
Delaware,2010,28476,318,11.167298777918246,1.0
District of Columbia,2010,16463,593,36.020166433821295,
Florida,2010,552027,11196,20.281616660054674,417.0
Georgia,2010,351811,4168,11.84727026727419,
Hawaii,2010,44737,700,15.647003598810826,
Idaho,2010,60968,1039,17.041726807505576,2.0
Illinois,2010,431211,4172,9.675077862113907,
Indiana,2010,221612,7005,31.60929913542588,
Iowa,2010,101153,3669,36.27178630391585,52.0
Kansas,2010,100765,2756,27.35076663524041,18.0
Kentucky,2010,142230,4318,30.35927722702665,17.0
Louisiana,2010,155698,2505,16.088838649179824,
Maine,2010,36243,593,16.36178020583285,
Maryland,2010,186225,2148,11.5344341522352,42.0
Massachusetts,2010,187996,4251,22.612183237941235,20.0
Michigan,2010,314019,6189,19.708998500090757,18.0
Minnesota,2010,179512,4489,25.00668478987477,41.0
Mississippi,2010,106515,2015,18.917523353518284,31.0
Missouri,2010,197907,4541,22.94512068799992,83.0
Montana,2010,30531,750,24.56519603026432,
Nebraska,2010,65834,2596,39.432512075827084,39.0
Nevada,2010,96732,2167,22.40210064921639,11.0
New Hampshire,2010,36772,397,10.796258022408354,1.0
New Jersey,2010,279434,3500,12.525319037769204,94.0
New Mexico,2010,72947,1351,18.520295557048268,25.0
New York,2010,592250,9579,16.17391304347826,8.0
North Carolina,2010,318634,3705,11.627761004789194,50.0
North Dakota,2010,21319,628,29.457291617805712,3.0
Ohio,2010,369367,7339,19.869127453183417,29.0
Oklahoma,2010,130917,3343,25.535262800094717,40.0
Oregon,2010,119993,3738,31.151817189336047,4.0
Pennsylvania,2010,371755,13172,35.431937700905166,349.0
Puerto Rico,2010,120911,1393,11.520870723093847,27.0
Rhode Island,2010,30148,1139,37.780283932599176,6.0
South Carolina,2010,150860,2586,17.14172080074241,5.0
South Dakota,2010,29099,1118,38.42056428055947,4.0
Tennessee,2010,205473,4603,22.401970088527445,66.0
Texas,2010,972112,12114,12.461527066840036,2.0
Utah,2010,130971,1736,13.254842675096013,
Vermont,2010,16698,441,26.410348544735896,10.0
Virginia,2010,258706,2120,8.194630197985358,30.0
Washington,2010,218403,4952,22.67368122232753,21.0
West Virginia,2010,53226,2269,42.62954195318078,21.0
Wisconsin,2010,181588,3533,19.45613146243144,42.0
Wyoming,2010,19115,749,39.18388699973843,2.0
Alabama,2011,155165,2511,16.182773176940675,46.0
Alaska,2011,27148,704,25.93192868719611,4.0
Arizona,2011,235967,6512,27.597079252607355,
Arkansas,2011,100503,2896,28.815060246957803,30.0
California,2011,1301624,24440,18.776543763790464,
Colorado,2011,175322,4148,23.659323986721574,33.0
Connecticut,2011,103960,1684,16.198537899191997,13.0
Delaware,2011,28488,427,14.988767200224656,1.0
District of Columbia,2011,16976,422,24.85862393967955,
Florida,2011,551831,12476,22.60837104113397,564.0
Georgia,2011,352216,5138,14.587639403093556,120.0
Hawaii,2011,45167,806,17.844886753603294,
Idaho,2011,61552,952,15.466597348583312,4.0
Illinois,2011,427978,3281,7.666281911687049,
Indiana,2011,221359,5634,25.451867780392938,
Iowa,2011,101427,3345,32.979384187642346,31.0
Kansas,2011,102094,2621,25.672419534938392,10.0
Kentucky,2011,142857,4076,28.532028532028534,14.0
Louisiana,2011,158378,3024,19.093560974377755,
Maine,2011,36066,421,11.673043864027061,
Maryland,2011,186397,2166,11.620358696760142,35.0
Massachusetts,2011,187732,4009,21.35491019112352,18.0
Michigan,2011,308679,5680,18.400992616925674,9.0
Minnesota,2011,179985,4684,26.024390921465677,36.0
Mississippi,2011,107134,1861,17.370769316930197,20.0
Missouri,2011,197733,4497,22.742789519200134,106.0
Montana,2011,30910,831,26.884503396958912,
Nebraska,2011,66227,2451,37.009074848626696,41.0
Nevada,2011,96962,2122,21.884862110930055,3.0
New Hampshire,2011,36249,382,10.538221744048112,1.0
New Jersey,2011,277745,3519,12.669895047615618,110.0
New Mexico,2011,73385,1404,19.131975199291407,15.0
New York,2011,592058,8284,13.991872417905004,18.0
North Carolina,2011,320568,3841,11.981857203463852,68.0
North Dakota,2011,21881,582,26.598418719436953,8.0
Ohio,2011,367509,7684,20.90833149664362,34.0
Oklahoma,2011,132723,3616,27.244712672257258,58.0
Oregon,2011,120542,3224,26.74586451195434,2.0
Pennsylvania,2011,372397,8121,21.807372239840817,292.0
Puerto Rico,2011,117471,956,8.138178784551082,16.0
Rhode Island,2011,29779,919,30.860673629067463,5.0
